title,plot,genre
guardians of the galaxy,"An action-packed, epic space adventure, Marvel's Guardians of the Galaxy expands the Marvel Cinematic Universe into the cosmos, where brash adventurer Peter Quill finds himself the object of an unrelenting bounty hunt after stealing a mysterious orb coveted by Ronan, a powerful villain with ambitions that threaten the entire universe. To evade the ever-persistent Ronan, Quill is forced into an uneasy truce with a quartet of disparate misfits—Rocket, a gun-toting raccoon, Groot, a tree-like...",adventure
interstellar,"With our time on Earth coming to an end, a team of explorers undertakes the most important mission in human history; traveling beyond this galaxy to discover whether mankind has a future among the stars.Directed and co-written by Christopher Nolan (""Inception,"" ""The Dark Knight"" Trilogy), the production will travel the globe and utilize a mixture of 35mm anamorphic and IMAX film photography to bring to the screen a script based on the combination of an original idea by Nolan and an existing...",scifi
john wick,"An ex-hitman comes out of retirement to track down the gangsters that took everything from him. With New York City as his bullet-riddled playground, JOHN WICK (Keanu Reeves) is a fresh and stylized take on the ""assassin genre"".",thriller
gone girl,"Directed by David Fincher and based upon the global bestseller by Gillian Flynn, Gone Girl unearths the secrets at the heart of a modern marriage. On the occasion of his fifth wedding anniversary, Nick Dunne (Ben Affleck) reports that his beautiful wife, Amy (Rosamund Pike), has gone missing. Under pressure from the police and a growing media frenzy, Nick’s portrait of a blissful union begins to crumble. Soon his lies, deceits and strange behavior have everyone asking the same dark question:...",drama
exodus: gods and kings,"Epic adventure Exodus: Gods and Kings is the story of one man's daring courage to take on the might of an empire. Using state of the art visual effects and 3D immersion, Scott brings new life to the story of the defiant leader Moses as he rises up against the Egyptian Pharaoh Ramses, setting 600,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.",drama
what we do in the shadows,"Follow the lives of Viago (Taika Waititi), Deacon (Jonathan Brugh), and Vladislav (Jemaine Clement) – three flatmates who are just trying to get by and overcome life’s obstacles-like being immortal vampires who must feast on human blood. Hundreds of years old, the vampires are finding that beyond sunlight catastrophes, hitting the main artery, and not being able to get a sense of their wardrobe without a reflection-modern society has them struggling with the mundane like paying rent,...",comedy
godzilla,"In Summer 2014, the world’s most revered monster is reborn as Warner Bros. Pictures and Legendary Pictures unleash the epic action adventure “Godzilla.” From visionary new director Gareth Edwards (“Monsters”) comes a powerful story of human courage and reconciliation in the face of titanic forces of nature, when the awe-inspiring Godzilla rises to restore balance as humanity stands defenseless.",action
the equalizer,"In The Equalizer, Denzel Washington plays McCall, a former black ops commando who has faked his death to live a quiet life in Boston. When he comes out of his self-imposed retirement to rescue a young girl, Teri (Chloe Moretz), he finds himself face to face with ultra-violent Russian gangsters. As he serves vengeance against those who brutalize the helpless, McCall's desire for justice is reawakened. If someone has a problem, the odds are stacked against them, and they have nowhere else to...",action
whiplash,"Whiplash follows Andrew (Teller), a first-year college student as he begins his quest to become the core drummer of the top jazz orchestra in the country. Under the direction of a prestigious but borderline abusive instructor named Fletcher (J.K. Simmons), Andrew would do anything to become a famous musician. His commitment is put to the ultimate test when the unrelenting and eccentric band professor all but drives him to madness. Fletcher’s extreme teaching methods rattle Andrew’s faith in...",drama
the grand budapest hotel,"The Grand Budapest Hotel recounts the adventures of Gustave H, a legendary concierge at a famous European hotel between the wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend. The story involves the theft and recovery of a priceless Renaissance painting and the battle for an enormous family fortune—all against the backdrop of a suddenly and dramatically changing Continent. Starring Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody, Willem Dafoe, Jeff...",comedy
