title,plot,genre
The Goonies,"Mikey and Brandon Walsh are two brothers whose family is preparing to move due to a new development that is sure to be started unless enough money is raised, which is quite doubtful. But, when Mikey stumbles on a treasure map of the famed ""One-Eyed"" Willy's hidden fortune, he, his brother, and a few friends set out on a quest to find the riches in hopes to save their homes. The entrance to a cavern is found, but it is located underneath the house of the Fratelli family, a treacherous group of...",Adventure
Back to The Future,"High schooler Marty McFly Michael J. Fox, during the height of his TV success) is catapulted back to the '50s where he sees his parents in their teens, and accidentally changes the history of how Mom and Dad met. Filled with the humorous ideology of the '50s, filtered through the knowledge of the '80s (actor Ronald Reagan is president, ha!), the film comes off as a Twilight Zone episode written by Preston Sturges. Filled with memorable effects and two wonderfully off-key, perfectly cast...",Adventure
The Breakfast Club,"When five high school students from different social groups are forced to spend a Saturday together in detention, they find themselves interacting with and understanding each other for the first time. A jock (Emilio Estevez), a stoner (Judd Nelson), a princess (Molly Ringwald), a basket case (Ally Sheedy), and a brain (Anthony Michael Hall) talk about everything from parental tension to sex to peer pressure to hurtful stereotypes while serving time. Ultimately, the five find that they may have...",Comedy
Weird Science,"Teenage geeks Gary (Anthony Michael Hall) and Wyatt (Ilan Mitchell-Smith) are sick of being ignored by girls, abused by cool guys, and forced to spend their weekend nights watching nerdy old sci-fi movies. Left alone for the weekend, they use Wyatt's computer to create Lisa (Kelly LeBrock), a stunningly beautiful woman with a body that stops traffic, a heart of gold, and a genius IQ. The boys embark on an adventure with their creation, going to bars, driving Ferraris, throwing a killer party,...",Comedy
 Clue ,"Clue finds six colorful dinner guests gathered at the mansion of their host, Mr. Boddy -- who turns up dead after his secret is exposed: He was blackmailing all of them. With the killer among them, the guests and Boddy's chatty butler must suss out the culprit before the body count rises.",Comedy
 Teen Wolf ,Teen discovers that puberty for him means he turns into a werewolf. One of the beneficial side effects is that it also turns him into a top-notch basketball player. But will his notoriety cost him his friends and can he find true love?,Comedy
 Summer Rental ,"Jack Chester, an overworked air traffic controller, takes his family on vacation to the beach. Things immediately start to go wrong for the Chesters, and steadily get worse. Jack ends up in a feud with a local yachtsman, and has to race him to regain his pride and family's respect.",Adventure
D.A.R.Y.L.,"A young boy is found wandering without any memory of who he is. A family takes him in and begin to look for clues to help him find his way home. In the meantime, they notice that the boy seems to have certain special abilities, not usually found in kids his age, or even fully-grown adults.",Family
 St. Elmo's Fire ,"Seven friends, fresh out of Georgetown University, cope with the fears and realities of adulthood while drinking at their favorite hangout, St. Elmo's. Alex (Judd Nelson) and Leslie (Ally Sheedy) are career-minded and heading towards marriage. Virginal Wendy (Mare Winningham) only has eyes for wild, would-be rocker Billy (Rob Lowe)--whose wife and child don't prevent him from trying to relive his college days. Kevin (Andrew McCarthy) ponders the meaning of life and secretly desires Leslie,...",Drama
 Brazil ,"Brazil is a Terry Gilliam dystopic black comedy film that reflects the melancholy, dreamlike quality of a famous Brazilian song that’s been translated into English. The film parodies the mostly dysfunctional bureaucratic world we live in and takes us to a post-apocalyptic world in the future yet with our present day attitudes in mind.",Drama
