title,plot,genre
raiders of the lost ark,Archeologist and university proffesor Indiana Jones must retrieve the mythic Lost Ark of the Covenant before the it gets into the hands of Adolf Hitler who plans on useing its power to guarantee his global conquest.,action
clash of the titans,"Perseus is the favored son of the god Zeus, but he has unwittingly ticked off the sea goddess Thetis. Just to make things worse, Perseus falls in love with the lovely Princess Andromeda, who used to be engaged to Thetis's son. Soon Perseus is off on one quest after another, with Zeus helping, Thetis hindering, and lots of innocent bystanders getting stabbed, drowned, and squished.",adventure
stripes,"Thanks to a run of bad luck and go-nowhere jobs, John convinces Russell to join the army so they can get in shape, likening it to a health spa. Once in boot camp, wiseguy John tangles with his by-the-book Sgt. and becomes the unofficial leader for his platoon, made up mostly of other misfits and assorted losers. After somehow making it through graduation, they are given a special assignment but, thanks to John's romantic interest in a pretty MPO, the other men wind up behind the Iron Curtain...",comedy
the evil dead,"The story of five college-age friends who travel to a cabin in rural Tennessee where the stumble upon the Book of the Dead, an ancient tome bound in human flesh and inked in blood. After unwittingly awakening the unspeakable terror told of in the book, each of the friends is transformed into the evil dead, one by one, except for Ash (Bruce Campbell). So, Ash is left with no other way to survive than to dismember the living corpses of his sister, girlfriend, and two of his friends.",horror
for your eyes only,A British spy trawler is accidentally sunk off the coast of a Warsaw pact county. On board is a hi-tech encryption device called an ATAC which the British use to send launch instructions to their Polaris fleet. The British send agent James Bond to investigate but once the Soviets learn of the loss the race is on to recover the device at any cost.,action
mad max 2: the road warrior,"Roaming the highways of post-apocalyptic Australia, years after he avenged his wife and son and his partner who were murdered by the motorcycle gang led by the evil Toecutter. Burnt out former Australian policeman Max Rockatansky, now known as ""The Road Warrior"" searching for sources of fuel, stumbles upon a gasoline refinery home to a community of survivors who are struggling for survival and finds the community is being terrorized by a band of brutal motorcyclists led by The Humangus and his...",action
excalibur,"The myth of King Arthur brought to the screen. Uthur Pendragon is given the mystical sword Excalibur by Merlyn. At his death Uthur buries the sword into a stone, and the next man that can pull it out will be King of England. Years later Arthur, Uthur's bastard son draws Excalibur and becomes king. Arthur's evil half-sister Morgana sires a son with him, who may prove his downfall.",adventure
das boot,"In the midst of World War II, as the tide turns against the Axis, a German U-boat crew is sent out to patrol the Atlantic and fire at Allied ships bringing supplies to England. The submarine also carries a press correspondent, there to report from the front lines of nautical warfare. Meanwhile, the crew's captain (J�rgen Prochnow) is becoming disillusioned with the Nazi regime and with war in general. What starts out as a routine mission is soon livened up beyond the crew's expectations...",action
dragonslayer,The sorcerer and his apprentice Galen are on a mission to kill an evil dragon in order to save the King’s daughter from being sacrificed in accordance to a pact that the King himself made with the dragon to protect his kingdom. A fantasy film from Disney Studios that exhausted all possible visual effects of the time.,action
taps,Military cadets take extreme measures to insure the future of their academy when its existence is threatened by local condo developers.,drama
