title,plot,genre
blazing saddles,"The Ultimate Western Spoof. A town where everyone seems to be named Johnson is in the way of the railroad. In order to grab their land, Hedley Lemar, a politically connected nasty person, sends in his henchmen to make the town unlivable. After the sheriff is killed, the town demands a new sheriff from the Governor. Hedley convinces him to send the town the first Black sheriff in the west. Bart is a sophisticated urbanite who will have some difficulty winning over the townspeople.",comedy
the texas chainsaw massacre,"Upon hearing that vandals have desecrated a graveyard where her grandfather is buried, Sally recruits her boyfriend Jerry, her brother Franklyn, and her friends Pam and Kirk to investigate. On a side trip to the grandfather's deserted farm, the travellers pick up a slimy hitchhiker who cuts himself and slashes Franklyn. After arriving at the farm, Pam and Kirk search for an old swimming hole--Kirk hears a generator and believes he can find some gasoline. He enters the house hoping to find the...",horror
the lords of flatbush,"Directed by Martin Davidson and Stephen Verona, The Lords of Flatbush is a low budget film starring Perry King, Henry Winkler and Sylvester Stallone (who also wrote additional dialog). Set in the late 1950s, the coming-of-age story follows four Brooklyn teenagers known as The Lords of Flatbush. The Lords chase girls, steal cars, play pool and hang out at a local malt shop. The film focuses on Chico (King) attempting to win over Jane (Susan Blakely), a girl who wants little to do with him, and...",comedy
young frankenstein,"A young neurosurgeon (Gene Wilder) inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback called Igor, a pretty lab assistant named Inga and the old housekeeper, frau Blucher -iiiiihhh!-. Young Frankenstein believes that the work of his grandfather is only crap, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind...",comedy
the man with the golden gun,A golden bullet has 007 engraved on it as it smashes into the secret service headquarters. The bullet came from the professional killer Scaramanga who has yet to miss a target and James Bond begins a mission to try and stop him.,action
the great gatsby,"Nick Carraway, a young Midwesterner now living on Long Island, finds himself fascinated by the mysterious past and lavish lifestyle of his neighbor, the nouveau riche Jay Gatsby. He is drawn into Gatsby's circle, becoming a witness to obsession and tragedy.",drama
the towering inferno,"Doug Roberts, Architect, returns from a long vacation to find work nearly completed on his skyscraper. He goes to the party that night concerned he's found that his wiring specifications have not been followed and that the building continues to develope short circuits. When the fire begins Michael O'Halleran is the chief on duty as a series of daring rescues punctuate the terror of a building too tall to have a fire successfully fought from the ground burns.",action
the conversation,The Conversation is a Francis Ford Coppola thriller from 1974 about a professional surveillance man who is hired to record the conversations between two workers. Yet it looks like he’s gotten into more than he’s getting paid for as information about a murder may have been recorded.,drama
zardoz,"In the distant future Earth is divided into two camps, the barely civilized group and the overly civilized one with mental powers. A plague is attacking the second group, after which its members cease to have any interest in life and become nearly catatonic. When Zed, one of the barbarians, crosses over, the tenuous balance in their world is threatened.",fantasy
thunderbolt and lightfoot,"Thunderbolt and Lightfoot tells the tale of two outlaws, their friendship, and a robbery that goes awry. Eastwood's character, an ex-con and present-day cowtown preacher is hiding from his old partners who believe they were conned out of their share. So Eastwood finds himself reluctantly teaming up with Jeff Bridges's character, a young drifter who can help him escape.",comedy
the longest yard,"A football player-turned-convict organizes a team of inmates to play against a team of prison guards. His dilemma is that the warden asks him to throw the game in return for an early release, but he is also concerned about the inmates' lack of self-esteem.",comedy
phantom of the paradise,"Rock Opera version of Phantom Of The Opera with elements of Faust. Record producer Swan steals both the music and the girl (Phoenix) from composer Leach. Disfigured Leach plans revenge on Swan and his rock palace, The Paradise, and becomes The Phantom. Leach signs contract with Swan to complete rock opera based on the life of Faust for Phoenix. Double crossed by Swan who hires heavy metal singer Beef, Leach exacts his vengeance.",comedy
il portiere di notte,"Thirteen years after WWII a concentration camp survivor (Rampling) and her tormentor (Bogarde), currently the night porter at a Vienna hotel, meet again and fall back into their sado-masochistic relationship.",drama
a woman under the influence,John Cassavetes' devastating drama details the emotional breakdown of a suburban housewife and her family's struggle to save her from herself.,drama
the parallax view,"The story concerns a reporter's dangerous investigation into an obscure organization, the Parallax Corporation, whose primary, but not ostensible, enterprise is political assassination.",thriller
gone in 60 seconds,"Insurance investigator Maindrian Pace and his team lead double-lives as unstoppable car thieves. When a South American drug lord pays Pace to steal 48 cars for him, all but one, a 1973 Ford Mustang, are in the bag. As Pace prepares to rip-off the fastback, codenamed ""Eleanor"", in Long Beach, he is unaware that his boss has tipped off the police after a business dispute.",action
foxy brown,"A sexy black woman, Foxy Brown, seeks revenge when her government agent boyfriend Michael is shot down by gangsters led by the kinky couple of Steve Elias and Miss Katherine.",action
emmanuelle,"Emmanuelle,a svelte,naive young woman, is en route to Bangkok where she'll join her new husband. He works for the French Embassy and has a lovely home, several dedicated servants, and an expensive car at his disposal. Once Emmanuelle arrives, her husband and a few friends introduce her to a realm of sexual ecstasy she'd never imagined.",drama
black christmas,A sorority house is terrorized by a stranger who makes frightening phone calls and then murders the sorority sisters during Christmas break.,horror
dark star,"A low-budget, sci-fi satire that focuses on a group of scientists whose mission is to destroy unstable planets. 20 years into their mission, they have battle their alien mascot, that resembles a beach ball, as well as a ""sensitive"" and intelligent bombing device that starts to question the meaning of its existence.",comedy
flesh gordon,"Emperor Wang (the Perverted) is leader of the planet Porno and sends his mighty ""Sex Ray"" towards Earth, turning everyone into sex-mad fiends. Only one man can save the Earth, football player Flesh Gordon. Along with his girlfriend Dale Ardor and Professor Flexi-Jerkoff, they set off towards the source of the Sex Ray, unaware of the perils that face them!",comedy
bring me the head of alfredo garcia,An American bartender and his prostitute girlfriend go on a road trip through the Mexican underworld to collect a $1 million bounty on the head of a dead gigolo.,action
earthquake,"Construction Engineer Stuart Graff is estranged from his jealously possessive wife, Remy, and has an affair with Denise Marshall, the widow of a co-worker. Meanwhile, Remy tries to persuade her father, Sam Royce, who is Stuart's employer, to use his influence to stop Stuart from seeing Denise. Rogue policeman Lew Slade is suspended from the L.A.P.D. for having punched an obtuse officer from another jurisdiction. Embittered, Slade contemplates quitting the police force. Jody, a perverted grocery...",action
il fiore delle mille e una notte,"The final part of Pasolini's Trilogy of Life series is rich with exotic tales of slaves and kings, potions, betrayals, demons and, most of all, love and lovemaking in all its myriad forms. Mysterious and liberating, this is an exquisitely dreamlike and adult interpretation of the original folk tales.",comedy
