movieTitle,year,description,genre
Birds of Prey,2020,"After splitting up with The Joker, Harley Quinn and three other female superheroes – Black Canary, Huntress and Renee Montoya – come together to save the life of a little girl (Cassandra Cain) from an evil crime lord.",Action
Fast & Furious 9,2020,The 9th installment in the popular Fast & Furious franchise.,Action
Avatar 2,2020,This sequel will further explore the relationship between the Na'vi and the humans that have interrupted their peaceful existence.,Action
Bad Boys for Life,2020,"Columbia Pictures is developing a third installment of the ""Bad Boys"" franchise. The studio hopes to have a script that would reunite director Michael Bay, producer Jerry Bruckheimer and stars Will Smith and Martin Lawrence. The first ""Bad Boys"" was released in 1995 and grossed $66 million domestically and $141 million worldwide. The 2003 sequel grossed $138 million domestically and $273 million worldwide.",Action
Top Gun: Maverick,2020,"A sequel to the 1986 original which looks at Maverick in his later years, teaching a new breed of hot shot pilots how to fly. Val Kilmer also returns as Iceman.",Action
The Voyage of Doctor Dolittle,2020,"The story follows the eccentric Doctor John Dolittle, a former physician who lives with and treats animals, claiming that he can communicate with them.",Comedy
Mulan,2020,"Disney bought a script by writing team Elizabeth Martin and Lauren Hynek that centers on the Chinese legend of Hua Mulan, the female warrior who was the main character in Disney's 1998 animated film. The 1998 film, directed by Tony Bancroft and Barry Cook, followed a young woman who disguises herself as a man so she can take her father's place in the army and go to war. With the help of her trusty dragon sidekick Mushu, she becomes a skilled warrior and, eventually, one of the country's...",Adventure
Nightmare Alley,2020,A corrupt con-man teams up with a female psychiatrist to trick people into giving them money. A remake of the 1947 film.,Drama
 The French Dispatch ,2020,A love letter to journalists set at an outpost of an American newspaper in post-war 20th-century Paris that centers on three storylines.,Comedy
 Untitled Christopher Nolan Project ,2020,"The plot is currently unknown. The project is described as a massive, innovative action blockbuster.",Action
Bill & Ted Face the Music,2020,"Alex Winter says he has been ""kicking ideas around"" for a third movie with Keanu Reeves and original writer Ed Solomon, and if they ""come up with a story that (is) worthwhile, it will happen"".",Comedy
Hustlers,2020,"Inspired by the viral New York Magazine article, Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients.",Drama
The Hitman's Wife's Bodyguard,2020,A sequel to the surprise hit action thriller HitMan's Bodyguard.,Action
Six Underground,2020,Based on an original idea from the writers of Deadpool. No plot details are being revealed.,Action
 The Devil All the Time ,2020,"Set in rural southern Ohio and West Virginia, The Devil All the Time follows a cast of compelling and bizarre characters from the end of World War II to the 1960s.",Thriller
Jungle Cruise,2020,Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles.,Adventure
