title,plot,genre
meyaadha maan,also known emotional rings vinoth vivek kishore arun informing going commit suicide able bear sided stop kishore speak badly hesitantly hearing feels outraged cancels also believes bad however blabbers loved slightly moves madhu postponed kishore however injured murali attends also madhu pick walks understanding hell ensuring torture pained hear still know suicide meanwhile sudarvizhi learns falls ensures refuses see sister learns happily assures ensure married vinoth know sudarvizhi quarrelled suffering due madhu thanks noble suddenly madhu unconscious admits rushing fetch suspicious fallen follows gets upset sees aid believes sworn subsequently murali comes know played attacks furiously making believe bad starts rejoicing realises bad still married later murali madhu falling unconscious brings safely soon murali develop enrages varghese invites show gleefully accepts enthralls irritated comes murali next shout accepting veiled however sudarvizhi easily good murali suddenly vinoth rejects saying decided marry vinoth even shocked see murali walks away angrily murali persuades talk gives unite sudarvizhi works well vinoth sudarvizhi eventually madhu murali murali finds hastens madhu arranged different stop premarital pick executing madhu gets ready complete interesting turns vinoth gets married sudarvizhi madhu got pregnant earlier stopping arranged later ends attempting commit refuses marry roll sign,romance
chennai 2 singapore,struggling indian makes singapore look finance however also ends losing harish vaanambaadi eccentric singaporean vaanambaadi harish almost realises meets dying gets swept hilarious serious cliched indian takes light humorous else,romance
sangham,rani vyjayanthimala progressive married finds difficult get rani medicos n attracted wants marry kamini informing due hatched misunderstands marry none knowing married agrees marry chandram ends happy realizing folly changed accepting rani marrying,romance
appu chesi pappu koodu,ramadasu devious recently acquired colonial perennial believes leading luxurious shrewd schizophrenic placates angry false dewan bahadur rao wealthy generous searching marry raghu manjari pay unbeknownst married named first bribes rao agrees knows wants stop released serving indian tells raghu london ramadasu thinking died asks spare sends attack raja cornering later leela disguised fed wants expose govindam strained ramalingam marry thwarted reunite disguises rao aided impressed suitable aware raja raghu recognises affectionate bothers ramadasu raghu continues flirt play prospective use expose ramadasu greed raghu foreign ramadasu demanding forces incur cornered ramalingam exposed ramadasu manjari govindam usha,romance
sabhash pillaa,shows simple poor change rich making responsible mohan rich brat erratic irresponsible send work learn mohan smart sends appadorai seen accepts gives falls appadorai meets meena falls hilarious creates,romance
pelli kanuka,clash complains sent later realizing apologizes elder supports stitching bhaskar rents falls ill nursing geeta confides vasanti decides sacrifice bhaskar marry geeta initially neglects finding made mean good geeta bhaskar joins geeta makes leave later geeta found loved leaving alone bring making promise make vasanti bhaskar impending former reaches already married hands vasanti walks away,romance
chaduvukunna ammayilu,wealthy krishnakumari middle bosom teaching driving vasantha accidentally dashes driven rao sujatha vasantha sekhar vasantha escaping forced saroja meets trapped real marry plays act helping learning agrees marry police chosen sekhar marry vasantha sujatha unites,romance
pooja,falls beautiful also loves deeply wants marry savitri due internal lalitha denies later according wish forced marry refuses accept already behave properly observe leave bring together obedient well educated rich loves much expects continues neglect even asks rejecting says helpless asks go refuses leave continues stay prays favorite god daily great listens accepts gives watch discover suddenly changes accepts enjoyable whole wholesome,romance
180,revolves comes chennai telugu rents owned elderly murthy lives gets along wins close nithya gets acquainted ajay finds helping sponsors attracted good take tells informing leave meanwhile san meets renuka anand interior get married told later pancreatic left hence leave vidya operated immediately ajay takes san san meets asks meet ajay sees revealed earlier faked make believe died suffer thinking seeing decides meet misses india goes brazil instead goes seen playing waiting,romance
nuvva nena,small creates big escape hyderabad unexpectedly avinash comes gorgeous love first sets trying get closer nandini starts hatching enters anand extremely timid extremely frightened minor takes dr nandini treating falls develops set hatching destroy unexpected comes local much revealed anand avinash already invites heartbroken anand deciding forget,romance
something something,lives love always becomes shy reserved talk maintains low sanjana joins becomes infatuated express gets introduced premji earns helping woo kumar take paying large helps kumar get gives flirt kumar becomes confident dealing get closer sanjana spreads seeing ganesh sanjana gets infuriated stops asks accepts leaving kumar heartbroken helps kumar spread sanjana break tells approaches coming back tells changed single quick according sanjana gets infuriated starts utilizes impress tells directly ask impress agrees sanjana gets impressed start dating premji sees recognizes gets shocked tries break finally understands took impress sincerely loves suitable niece comes know played rejects marry wants go tokyo maintain kumar play last stops stay overhears regarding accident laughs heartily impress,romance
potugadu,young decides commit goes lonely last rathnam posani also comes commit suicide sit find respective rathnam decides die ditched narrate first romantic mundi rich brief second begins falls mumtaz govinda throws makes derogatory rathnam gets furious bash govinda admitting mixed takes gets treated working known mumtaz starts listening govinda love named engaged steal ring costing separates ditches comes know threw last final involves mary first experiences true fully reforms leads normal runs hearing heartbroken hiring mary upbringing talented transport present informed regarding pleading strongly accept favor helping releasing transported much bloodshed dejected heartbroken committed decides die go taken govinda tells suicide left aware eloped commit suicide separated desert happen stops venkata showered unconditional left drunken frustrated leaves gaining accidentally comes beautiful accepts,romance
doosukeltha,small escaping eventually grows become intelligent due also gets disturbed immediately disowns grows become gets starts liking also protects unidentified discovering real alekhya puts away repair decides get alekhya back happens forms,romance
current theega,siva babu noted good veerraju falls kill cut takes marry elopement third wayward deeply english sunny sunny junior sunny raju uses love proceed kavita happens want get married,romance
pellichoopulu,prasanth goes chitra completes clearing many almost also lazy incapable become open get focused works hard fulfill going australia however shows meet choopulu younger accidentally locks get stuck pass talk past north indian named wanted start went delhi talk meanwhile started eagerly ready surprise buying went wrong come back overpowered getting dowry waited realised coming back decided get married else unemployed always went made cooking passionate cooking profitable enough plan make caught red handed prashant ended got recommended started going show cheated found second called quit revealed came wrong later prasanth goes actual rich meanwhile chitra coming interested prasanth wanted able run chitra operate first face many mainly prasanth well fighting chitra giving prasanth chitra informs proud responsible also claims ever gets wish insists let pursue chitra understands good later natural cooking prasanth kickstart becomes smashing fall realising engaged drift apart realising love come back together organised,romance
nirmala convent,meka poor acre studious highly plus nirmala sharma rich initially begins teasing slowly fall knowing also insults even make love successful reaches bhupati agrees samuel name samuel wants become popular meets asks conduct makes accept samuel becomes nagarjuna,romance
majnu,revolves aditya works crew sees suma shri works gets attracted trying help kasi proposing continued tells suma traces back hometown getting placed major infosys hold drunken sees kiran first driving frozen watching crashes rushed proposes kiran passing aditya leaves search finds studying graduated chasing assume continues teaching principal aditya junior impressed teaching kiran fall aditya aditya happening aditya kiran runs away suma curious broke informs broke kiran fighting asks happened revealed attacked kasi forcing charge asks important aditya important aditya convince brushes fed continuous aditya kiran run away remember impressed aditya love getting attracted tells says realized still packs leave shocked learn suma suma tells loved duped following fell tries talk kiran tells misunderstood came apologize hurt aditya going mumbai offers accompany gives kiran returning hyderabad follows bhimavaram even fighting find getting married hemanth raj tell aditya kiran aditya tells run away remember suma forgives aditya kiran gives aditya realizes wrote true tells hemanth hemanth agrees help reach leaving follows catches gets drink proposes aditya ends calling offering,romance
premam,opens shown shy modest young loves suma unfortunately loved desperate write unable give suma due strict militarian later gives young seen continuously hanging around suma give suma soon starts getting closer vicky even coming visit however shocked learns already wanted vicky able communicate trying tell merely using achieve wanted vicky open heartedly helps suma needs showing second thug goes making vasu praveen siva getting suspended beating led sean enter start ragging first apprehend assuming lets go later finds consuming begins fall e coach attempting help lecturer kantha rao narra fulfil sithara slowly begins getting closer sithara later even begins calling however feels scared krishna shows expresses feeling jealous get closer eventually reciprocating celebrating together realise joining annual unable get good revealing help win soon forced go later however revealed met rendering forcing leave leaves fails recognise even shows made specially later top unfortunately still single haunting spends k srinivasa happens meet sindhu later reveals young asked deliver suma revealing deliver instead read initially taking rude forgives begins spend eventually falling befriends arjun decides propose however reveals previous forcing vicky react violently ignoring finally gives speak reveals cancelled abused attempting make vicky forcing bash convey social economical tells misunderstood however reveals understood angry throwing causing fall fractured unconscious get married present come meet invited seeing special recalls made resuscitating however realizes better decides reveal shown vicky predicted future starting recalls last recalling loved starting,romance
naanna nenu naa boyfriends,padmavati pampered loves father much said leave disagree wish raghava grown makes fixed declares choose marry fails marry chosen leaves hyderabad stays friend maggie paddu namo gokul befriends irritates proposes propose test paddu pass wish escapes namo get asks sacrifice leave sacrifice paddu overhears paddu leave gets saddened watches reveals knew earlier meets loved tell sacrificed reveals given make paddu decide tells come cancel reach paddu meet raju saved live,romance
